model,sample_id,image_ref,rank,positive_score,top_image_refs
clip_vit_b32,ai2d_test_000001,hf://lmms-lab/ai2d-no-mask/test/000001,7,0.3283385634422302,"[""hf://lmms-lab/ai2d-no-mask/test/000021"", ""hf://lmms-lab/ai2d-no-mask/test/000004"", ""hf://lmms-lab/ai2d-no-mask/test/000005"", ""hf://lmms-lab/ai2d-no-mask/test/000110"", ""hf://lmms-lab/ai2d-no-mask/test/000002"", ""hf://lmms-lab/ai2d-no-mask/test/000003"", ""hf://lmms-lab/ai2d-no-mask/test/000001"", ""hf://lmms-lab/ai2d-no-mask/test/000022"", ""hf://lmms-lab/ai2d-no-mask/test/000023"", ""hf://lmms-lab/ai2d-no-mask/test/000024""]"
clip_vit_b32,ai2d_test_000002,hf://lmms-lab/ai2d-no-mask/test/000002,21,0.2695557475090027,"[""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000145"", ""hf://lmms-lab/ai2d-no-mask/test/000146"", ""hf://lmms-lab/ai2d-no-mask/test/000176"", ""hf://lmms-lab/ai2d-no-mask/test/000167"", ""hf://lmms-lab/ai2d-no-mask/test/000168"", ""hf://lmms-lab/ai2d-no-mask/test/000169"", ""hf://lmms-lab/ai2d-no-mask/test/000170"", ""hf://lmms-lab/ai2d-no-mask/test/000171""]"
clip_vit_b32,ai2d_test_000003,hf://lmms-lab/ai2d-no-mask/test/000003,3,0.31996166706085205,"[""hf://lmms-lab/ai2d-no-mask/test/000001"", ""hf://lmms-lab/ai2d-no-mask/test/000002"", ""hf://lmms-lab/ai2d-no-mask/test/000003"", ""hf://lmms-lab/ai2d-no-mask/test/000004"", ""hf://lmms-lab/ai2d-no-mask/test/000005"", ""hf://lmms-lab/ai2d-no-mask/test/000136"", ""hf://lmms-lab/ai2d-no-mask/test/000110"", ""hf://lmms-lab/ai2d-no-mask/test/000021"", ""hf://lmms-lab/ai2d-no-mask/test/000104"", ""hf://lmms-lab/ai2d-no-mask/test/000026""]"
clip_vit_b32,ai2d_test_000004,hf://lmms-lab/ai2d-no-mask/test/000004,1,0.30700376629829407,"[""hf://lmms-lab/ai2d-no-mask/test/000004"", ""hf://lmms-lab/ai2d-no-mask/test/000005"", ""hf://lmms-lab/ai2d-no-mask/test/000104"", ""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000077"", ""hf://lmms-lab/ai2d-no-mask/test/000078"", ""hf://lmms-lab/ai2d-no-mask/test/000064"", ""hf://lmms-lab/ai2d-no-mask/test/000092"", ""hf://lmms-lab/ai2d-no-mask/test/000093""]"
clip_vit_b32,ai2d_test_000005,hf://lmms-lab/ai2d-no-mask/test/000005,4,0.3043396472930908,"[""hf://lmms-lab/ai2d-no-mask/test/000021"", ""hf://lmms-lab/ai2d-no-mask/test/000001"", ""hf://lmms-lab/ai2d-no-mask/test/000004"", ""hf://lmms-lab/ai2d-no-mask/test/000005"", ""hf://lmms-lab/ai2d-no-mask/test/000002"", ""hf://lmms-lab/ai2d-no-mask/test/000003"", ""hf://lmms-lab/ai2d-no-mask/test/000110"", ""hf://lmms-lab/ai2d-no-mask/test/000022"", ""hf://lmms-lab/ai2d-no-mask/test/000023"", ""hf://lmms-lab/ai2d-no-mask/test/000024""]"
clip_vit_b32,ai2d_test_000006,hf://lmms-lab/ai2d-no-mask/test/000006,77,0.26134875416755676,"[""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000176"", ""hf://lmms-lab/ai2d-no-mask/test/000167"", ""hf://lmms-lab/ai2d-no-mask/test/000168"", ""hf://lmms-lab/ai2d-no-mask/test/000169"", ""hf://lmms-lab/ai2d-no-mask/test/000170"", ""hf://lmms-lab/ai2d-no-mask/test/000171"", ""hf://lmms-lab/ai2d-no-mask/test/000172"", ""hf://lmms-lab/ai2d-no-mask/test/000173""]"
clip_vit_b32,ai2d_test_000007,hf://lmms-lab/ai2d-no-mask/test/000007,37,0.30844753980636597,"[""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157"", ""hf://lmms-lab/ai2d-no-mask/test/000154"", ""hf://lmms-lab/ai2d-no-mask/test/000155"", ""hf://lmms-lab/ai2d-no-mask/test/000012"", ""hf://lmms-lab/ai2d-no-mask/test/000013"", ""hf://lmms-lab/ai2d-no-mask/test/000014"", ""hf://lmms-lab/ai2d-no-mask/test/000015"", ""hf://lmms-lab/ai2d-no-mask/test/000098"", ""hf://lmms-lab/ai2d-no-mask/test/000052""]"
clip_vit_b32,ai2d_test_000008,hf://lmms-lab/ai2d-no-mask/test/000008,38,0.31699490547180176,"[""hf://lmms-lab/ai2d-no-mask/test/000098"", ""hf://lmms-lab/ai2d-no-mask/test/000006"", ""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157"", ""hf://lmms-lab/ai2d-no-mask/test/000154"", ""hf://lmms-lab/ai2d-no-mask/test/000155"", ""hf://lmms-lab/ai2d-no-mask/test/000012"", ""hf://lmms-lab/ai2d-no-mask/test/000013"", ""hf://lmms-lab/ai2d-no-mask/test/000014"", ""hf://lmms-lab/ai2d-no-mask/test/000015""]"
clip_vit_b32,ai2d_test_000009,hf://lmms-lab/ai2d-no-mask/test/000009,23,0.31319355964660645,"[""hf://lmms-lab/ai2d-no-mask/test/000094"", ""hf://lmms-lab/ai2d-no-mask/test/000095"", ""hf://lmms-lab/ai2d-no-mask/test/000096"", ""hf://lmms-lab/ai2d-no-mask/test/000097"", ""hf://lmms-lab/ai2d-no-mask/test/000098"", ""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157"", ""hf://lmms-lab/ai2d-no-mask/test/000154"", ""hf://lmms-lab/ai2d-no-mask/test/000155"", ""hf://lmms-lab/ai2d-no-mask/test/000052""]"
clip_vit_b32,ai2d_test_000010,hf://lmms-lab/ai2d-no-mask/test/000010,31,0.3001125454902649,"[""hf://lmms-lab/ai2d-no-mask/test/000156"", ""hf://lmms-lab/ai2d-no-mask/test/000157"", ""hf://lmms-lab/ai2d-no-mask/test/000012"", ""hf://lmms-lab/ai2d-no-mask/test/000013"", ""hf://lmms-lab/ai2d-no-mask/test/000014"", ""hf://lmms-lab/ai2d-no-mask/test/000015"", ""hf://lmms-lab/ai2d-no-mask/test/000154"", ""hf://lmms-lab/ai2d-no-mask/test/000155"", ""hf://lmms-lab/ai2d-no-mask/test/000052"", ""hf://lmms-lab/ai2d-no-mask/test/000054""]"
clip_vit_b32,ai2d_test_000011,hf://lmms-lab/ai2d-no-mask/test/000011,88,0.24652616679668427,"[""hf://lmms-lab/ai2d-no-mask/test/000177"", ""hf://lmms-lab/ai2d-no-mask/test/000178"", ""hf://lmms-lab/ai2d-no-mask/test/000176"", ""hf://lmms-lab/ai2d-no-mask/test/000167"", ""hf://lmms-lab/ai2d-no-mask/test/000168"", ""hf://lmms-lab/ai2d-no-mask/test/000169"", ""hf://lmms-lab/ai2d-no-mask/test/000170"", ""hf://lmms-lab/ai2d-no-mask/test/000171"", ""hf://lmms-lab/ai2d-no-mask/test/000172"", ""hf://lmms-lab/ai2d-no-mask/test/000173""]"
