dataset,model,sample_id,target_evidence_id,rank,top_evidence_ids
scienceqa,tfidf,r009384,603b78dd1d003d80,1,"[""603b78dd1d003d80"", ""fe9e4361f972bfcf"", ""84bd89e31ab1953b"", ""73db2bb9e0f10942"", ""1c978026e6bc8534"", ""3cf105da7f6de4e2"", ""f91f0888ee7ee0a3"", ""d670903130336e9b"", ""041caa939306e924"", ""ba9d4e92b2071516""]"
scienceqa,tfidf,r021128,585196038de34dba,1,"[""585196038de34dba"", ""50f87e05640ce35e"", ""e02912673ef71f1f"", ""7de06184651147fa"", ""1656c00ccb3216e4"", ""a324000a75e465a8"", ""f7f8493b842d2afe"", ""73db2bb9e0f10942"", ""3cf105da7f6de4e2"", ""1fbe6aa3e6836d61""]"
scienceqa,tfidf,r005612,6e905a600bf1f54e,1,"[""6e905a600bf1f54e"", ""4798d36539bfcac3"", ""a20e3924802a511e"", ""929e5feb0a89f2af"", ""8653cf633d765be5"", ""158889b1566f00c1"", ""3751cd01e0da011c"", ""39475f68197a193c"", ""46a02a17c9c9fcaf"", ""4329d695aaa4d907""]"
scienceqa,tfidf,r013644,1dc472771e481e34,1,"[""1dc472771e481e34"", ""1fbe6aa3e6836d61"", ""2e813137fdb8a755"", ""649d8bc6f50d2c8d"", ""7de06184651147fa"", ""04688630018210f9"", ""162c11a56856ddef"", ""d40bddaf8e2e6338"", ""585196038de34dba"", ""a324000a75e465a8""]"
scienceqa,tfidf,r001717,ff4ed16548800b04,1,"[""ff4ed16548800b04"", ""700bb3694cce104a"", ""49c7b329b3f98125"", ""ade72b4e1e5c0eb3"", ""cf3189fb7b944799"", ""005e6cd45adce39b"", ""4162fa8708bdc033"", ""80ab30502fc0c29e"", ""a66317d5a396790a"", ""ad9d96a9b6199667""]"
scienceqa,tfidf,r011454,288e0ae1b81cd4ee,2,"[""89ef4c6e6c4a0703"", ""288e0ae1b81cd4ee"", ""66f839aaad7d5b87"", ""f4dbf115afd9259a"", ""a3869db8848e98db"", ""1951dfd63e1726c3"", ""9bb744f4958c71ab"", ""0bedd3b805a96f7f"", ""79415c7d1109bddb"", ""5bccdf72a7eed5e0""]"
scienceqa,tfidf,r001683,1ba57f81a803b66c,1,"[""1ba57f81a803b66c"", ""435152c7f8be7c7b"", ""e638fe53d130b727"", ""1765f6fd996c06e9"", ""9b6dc57631d1cfc7"", ""ba9d4e92b2071516"", ""7600edb9100bf449"", ""46a02a17c9c9fcaf"", ""dc5a235c6023dfaf"", ""9b93282aac20d87b""]"
scienceqa,tfidf,r021145,3a1257facaa94df2,1,"[""3a1257facaa94df2"", ""04aa28de99cfd31b"", ""0226eb7d6bdeb0b0"", ""c940373cfac0bfc5"", ""25e83bf61adcdbc9"", ""1ceaba7bff1870dd"", ""4c7f0d384fb4308c"", ""447280a169a5754d"", ""76b59884342e0f4d"", ""66f839aaad7d5b87""]"
scienceqa,tfidf,r017439,288e0ae1b81cd4ee,2,"[""89ef4c6e6c4a0703"", ""288e0ae1b81cd4ee"", ""66f839aaad7d5b87"", ""f4dbf115afd9259a"", ""a3869db8848e98db"", ""1951dfd63e1726c3"", ""9bb744f4958c71ab"", ""0bedd3b805a96f7f"", ""79415c7d1109bddb"", ""5bccdf72a7eed5e0""]"
scienceqa,tfidf,r011439,d40bddaf8e2e6338,1,"[""d40bddaf8e2e6338"", ""4c6745e0b38ddbfa"", ""685f016bdef72207"", ""f45081f076302dab"", ""162c11a56856ddef"", ""51f77d9f05fb616e"", ""50f87e05640ce35e"", ""041caa939306e924"", ""f7f8493b842d2afe"", ""e136dfd756b382bd""]"
scienceqa,tfidf,r020290,2e813137fdb8a755,1,"[""2e813137fdb8a755"", ""1fbe6aa3e6836d61"", ""1dc472771e481e34"", ""a324000a75e465a8"", ""585196038de34dba"", ""649d8bc6f50d2c8d"", ""b1f7074e14d09bcf"", ""929e5feb0a89f2af"", ""158889b1566f00c1"", ""3751cd01e0da011c""]"
scienceqa,tfidf,r008983,7638a5a0316ac331,1,"[""7638a5a0316ac331"", ""fe6aa8530f2389e8"", ""ef8bd96cd1e57e9d"", ""a04296555630f49d"", ""ad9d96a9b6199667"", ""75e0bdec7abce862"", ""0bbd6f0aca3068f8"", ""cd9a9d878bfa47ae"", ""94bb9bb11bd84756"", ""85d1969154b956e9""]"
