dataset,model,strategy,sample_id,rank,question,topic,skill,target_evidence,top_negative_sample_id,top_negative_topic,top_negative_skill,top_negative_evidence
scienceqa,tfidf,random,r017439,2,Will these magnets attract or repel each other?,physics,Identify magnets that attract or repel,"hint: Two magnets are placed as shown. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south. Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S. If opposite poles are closest to each other, the magnets attr",r000085,physics,Identify magnets that attract or repel,"hint: Two magnets are placed as shown. Hint: Magnets that attract pull together. Magnets that repel push apart. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles, called north and south. Here are some examples of magnets. The north pole of each magnet is marked N, and the south p"
scienceqa,tfidf,random,r019198,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan",r008174,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic"
scienceqa,tfidf,same_subject,r008983,2,Is quartzite a mineral or a rock?,earth-science,Identify rocks and minerals,hint: Quartzite has the following properties: made mostly of quartz not made by living things no fixed crystal structure very hard found in nature solid lecture: Minerals are the building blocks of rocks. A rock can be made of one or more minerals. Minerals and rocks have the following properties: Property | Mineral | Rock It is a solid. | Yes | Yes It is formed in nature. | Yes | Yes It is not made by organisms. | Yes | Yes It is a pure substance. | Yes | No It has a fixed crystal structure. | ,r019894,earth-science,Identify minerals using properties,"lecture: Minerals are the building blocks of rocks. A rock can be made of one or more minerals. Minerals and rocks have the following properties: Property | Mineral | Rock It is a solid. | Yes | Yes It is formed in nature. | Yes | Yes It is not made by organisms. | Yes | Yes It is a pure substance. | Yes | No It has a fixed crystal structure. | Yes | No You can use these properties to tell whether a substance is a mineral, a rock, or neither. Look closely at the last three properties: Minerals a"
scienceqa,tfidf,same_subject,r000973,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t",r015156,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. You can change t"
scienceqa,tfidf,same_subject,r019909,2,"Which figure of speech is used in this text?
Dustin is a real Benedict Arnold. After promising to work on my campaign for class president, he decided to support my opponent.",figurative-language,Classify figures of speech,"lecture: Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive. Alliteration is the repetition of sounds at the beginning of nearby words. What a lucky little lady you are! An allusion is a brief reference to something or someone well known, often from history or literature. ""I'd better get home before I turn into a pumpkin!"" Lila remarked. An idiom is an expression that cannot be understood literally. Its meaning must be l",r003417,figurative-language,Recall the source of an allusion,"lecture: An allusion is a brief mention of something or someone well known, often from mythology, history, or literature. An allusion lets you reference ideas from an entire story in just a few words. ""I'd better get home before I turn into a pumpkin!"" Lila remarked. Here, Lila alludes to the fairy tale ""Cinderella,"" in which Cinderella must leave the ball before the coach that brought her transforms into a pumpkin. The allusion shows that Lila must depart immediately. solution: The source of th"
scienceqa,tfidf,same_subject,r000193,4,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,tfidf,same_subject,r007478,3,Does this passage describe the weather or the climate?,earth-science,Weather and climate around the world,"hint: Figure: Nassau. Nassau, a city in the Bahamas, has many tourists each winter. On Tuesday, it was too humid for some tourists. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For example, the tempe",r016895,earth-science,Weather and climate around the world,"hint: Figure: Smethport, Pennsylvania. Northwest Pennsylvania normally receives between two and five inches of precipitation each month of the year. Hint: Weather is what the atmosphere is like at a certain place and time. Climate is the pattern of weather in a certain place. lecture: The atmosphere is the layer of air that surrounds Earth. Both weather and climate tell you about the atmosphere. Weather is what the atmosphere is like at a certain place and time. Weather can change quickly. For e"
scienceqa,tfidf,same_subject,r019198,2,Think about the magnetic force between the magnets in each pair. Which of the following statements is true?,physics,Compare strengths of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The stronger the magnetic force between two magnets, the more strongly the magnets attract or repel each other. solution: Distan",r008174,physics,Compare magnitudes of magnetic forces,"hint: The images below show two pairs of magnets. The magnets in different pairs do not affect each other. All the magnets shown are made of the same material, but some of them are different sizes. lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart. These pulls and pushes between magnets are called magnetic forces. The strength of a force is called its magnitude. The greater the magnitude of the magnetic"
scienceqa,tfidf,same_subject,r016559,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Indian Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,tfidf,same_subject,r000907,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Atlantic Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
scienceqa,tfidf,same_subject,r000236,2,Which ocean is highlighted?,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Pacific Ocean.",r011779,geography,Oceans and continents,"lecture: Oceans are huge bodies of salt water. The world has five oceans. All of the oceans are connected, making one world ocean. solution: This is the Southern Ocean. The Southern Ocean reaches from the shores of Antarctica to 60° South latitude."
