dataset,sample_id,image_ref,hf_index,local_image_path,status,width,height,error
ai2d,ai2d_test_000001,hf://lmms-lab/ai2d-no-mask/test/000001,1,data/ai2d/raw/images/ai2d_test_000001.png,cached,400,250,
ai2d,ai2d_test_000002,hf://lmms-lab/ai2d-no-mask/test/000002,2,data/ai2d/raw/images/ai2d_test_000002.png,cached,400,250,
ai2d,ai2d_test_000003,hf://lmms-lab/ai2d-no-mask/test/000003,3,data/ai2d/raw/images/ai2d_test_000003.png,cached,400,250,
ai2d,ai2d_test_000004,hf://lmms-lab/ai2d-no-mask/test/000004,4,data/ai2d/raw/images/ai2d_test_000004.png,cached,1001,817,
ai2d,ai2d_test_000005,hf://lmms-lab/ai2d-no-mask/test/000005,5,data/ai2d/raw/images/ai2d_test_000005.png,cached,1001,817,
ai2d,ai2d_test_000006,hf://lmms-lab/ai2d-no-mask/test/000006,6,data/ai2d/raw/images/ai2d_test_000006.png,cached,1136,720,
ai2d,ai2d_test_000007,hf://lmms-lab/ai2d-no-mask/test/000007,7,data/ai2d/raw/images/ai2d_test_000007.png,cached,1136,720,
ai2d,ai2d_test_000008,hf://lmms-lab/ai2d-no-mask/test/000008,8,data/ai2d/raw/images/ai2d_test_000008.png,cached,1136,720,
ai2d,ai2d_test_000009,hf://lmms-lab/ai2d-no-mask/test/000009,9,data/ai2d/raw/images/ai2d_test_000009.png,cached,1136,720,
ai2d,ai2d_test_000010,hf://lmms-lab/ai2d-no-mask/test/000010,10,data/ai2d/raw/images/ai2d_test_000010.png,cached,1136,720,
ai2d,ai2d_test_000011,hf://lmms-lab/ai2d-no-mask/test/000011,11,data/ai2d/raw/images/ai2d_test_000011.png,cached,400,376,
ai2d,ai2d_test_000012,hf://lmms-lab/ai2d-no-mask/test/000012,12,data/ai2d/raw/images/ai2d_test_000012.png,cached,400,376,
ai2d,ai2d_test_000013,hf://lmms-lab/ai2d-no-mask/test/000013,13,data/ai2d/raw/images/ai2d_test_000013.png,cached,400,376,
ai2d,ai2d_test_000014,hf://lmms-lab/ai2d-no-mask/test/000014,14,data/ai2d/raw/images/ai2d_test_000014.png,cached,400,376,
