dataset,sample_id,original_id,split,question,choices,answer,text_context,image_ref,has_image,subject,topic,skill,evidence_type,modality_case,answer_format,source_task
scienceqa,r009384,r009384,train,What information supports the conclusion that Albert acquired this trait?,Albert's scar was caused by an accident. He cut his arm when he fell off his bicycle. | Some scars fade more quickly than others.,0,"hint: Read the description of a trait.
Albert has a scar on his right arm.
lecture: Organisms, including people, have both inherited and acquired traits. Inherited and acquired traits are gained in different ways.
Inherited traits are passed down through families. Children gain these traits from their parents. Inherited traits do not need to be learned.
Acquired traits are gained during a person's life. Some acquired traits, such as riding a bicycle, are gained by learning. Other acquired traits, such as scars, are caused by the environment.",,0,natural science,biology,Inherited and acquired traits: use evidence to support a statement,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r021128,r021128,test,Select the one animal that has all of the mammal traits listed above.,"Barn owls live on every continent except Antarctica. They have feathers, two wings, and a beak. They hatch from eggs with shells. | Florida manatees have hairs on their bodies that are similar to whiskers. These hairs help the manatees feel the water moving around them. Female manatees feed their offspring milk.",1,"hint: Mammals are a group of animals with similar traits. The following traits can be used to identify mammals:
They feed their offspring milk.
They have fur or hair. Observe the animals and read the descriptions.
lecture: Scientists sort animals with similar traits into groups. This is called classification. Classification helps scientists learn about how animals live.
How do scientists classify animals? First, they make observations about an animal. Scientists observe the animal's traits, including its body parts and behavior. Then, scientists compare the animal's traits to other animals' traits. Scientists classify animals with similar traits into a group.
solution: To decide if an animal is part of a group, look at the traits of the group.
Mammals have the following traits:
They feed their offspring milk.
They have fur or hair.
Compare each animal's traits to the group's traits. Select the animal with traits similar to the group's traits.
A Florida manatee has the following traits:
It feeds its offspring milk.
It has hair.
A Florida manatee has the traits of a mammal. A Florida manatee is a mammal.
A barn owl has the following traits:
It has feathers.
It has wings.
It has a beak.
It makes eggs with shells.
A barn owl does not have all of the traits of a mammal. A barn owl is a bird.",,0,natural science,biology,"Use evidence to classify mammals, birds, fish, reptiles, and amphibians",text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r005612,r005612,train,"Which figure of speech is used in this text?
Kaylee and Eddie had met before through mutual friends, but they had never been alone together until their first date.",hyperbole | oxymoron,1,"lecture: Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive.
A euphemism is a polite or indirect expression that is used to de-emphasize an unpleasant topic.
The head of Human Resources would never refer to firing people, only to laying them off.
Hyperbole is an obvious exaggeration that is not meant to be taken literally.
I ate so much that I think I might explode!
An oxymoron is a joining of two seemingly contradictory terms.
Some reviewers are calling this book a new classic.
A paradox is a statement that might at first appear to be contradictory, but that may in fact contain some truth.
Always expect the unexpected.
solution: The text uses an oxymoron, a joining of two seemingly contradictory terms.
Alone together is a contradiction, because being alone means by yourself, but together means with someone else.",,0,language science,figurative-language,"Classify the figure of speech: euphemism, hyperbole, oxymoron, paradox",text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r013644,r013644,validation,Which fish's mouth is also adapted for tearing through meat?,magnificent rabbitfish | barracuda,1,"hint: Great white sharks eat turtles, dolphins, and other fish. The mouth of the  is adapted to tear through meat.
Figure: great white shark.
lecture: An adaptation is an inherited trait that helps an organism survive or reproduce. Adaptations can include both body parts and behaviors.
The shape of an animal's mouth is one example of an adaptation. Animals' mouths can be adapted in different ways. For example, a large mouth with sharp teeth might help an animal tear through meat. A long, thin mouth might help an animal catch insects that live in holes. Animals that eat similar food often have similar mouths.
solution: Look at the picture of the great white shark.
The great white shark has a large mouth and sharp teeth. Its mouth is adapted for tearing through meat. The great white shark uses its teeth to cut up meat into pieces it can swallow.
Now look at each animal. Figure out which animal has a similar adaptation.
The barracuda has a large mouth and sharp teeth. Its mouth is adapted for tearing through meat.
The magnificent rabbitfish has a small, narrow mouth. Its mouth is not adapted for tearing through meat.","{""bytes"": ""<bytes:86393>"", ""path"": ""image.png""}",1,natural science,biology,"Animal adaptations: beaks, mouths, and necks",text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r001717,r001717,train,What is the capital of Vermont?,Burlington | Buffalo | Topeka | Montpelier,3,solution: Montpelier is the capital of Vermont.,"{""bytes"": ""<bytes:65587>"", ""path"": ""image.png""}",1,social science,geography,Identify state capitals of the Northeast,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r011454,r011454,train,Will these magnets attract or repel each other?,attract | repel,0,"hint: Two magnets are placed as shown.
lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south.
Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S.
If opposite poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same, or like, poles are closest to each other, the magnets repel. The magnets in both pairs below repel.
solution: To predict if these magnets will attract or repel, look at which poles are closest to each other.
The north pole of one magnet is closest to the south pole of the other magnet. Opposite poles attract. So, these magnets will attract each other.","{""bytes"": ""<bytes:11132>"", ""path"": ""image.png""}",1,natural science,physics,Identify magnets that attract or repel,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r001683,r001683,train,Which is a compound sentence?,"The American Philatelic Society is a group for stamp collectors. | Canadian geese are flying south, so winter must be coming.",1,"lecture: A simple sentence is a sentence with only one subject and predicate.
The pitcher threw the ball to first base.
A compound sentence is two simple sentences joined by a comma and a conjunction such as and, but, or, or so.
The pitcher threw the ball, and the batter hit it.
Some simple sentences have a compound subject or a compound predicate, but they are not compound sentences.
Anna and James will watch the fireworks tonight.
This simple sentence has a compound subject, Anna and James.
The singers bowed and walked off the stage.
This simple sentence has a compound predicate, bowed and walked off the stage.
Some simple sentences have introductory phrases, but they are not compound sentences. The introductory phrase is part of the predicate.
In the winter, Farmer Ben wears his heavy coat.
This is a simple sentence. There is one subject, Farmer Ben, and one predicate, wears his heavy coat in the winter.
solution: The second sentence is the compound sentence. It is made up of two simple sentences joined by a comma and the conjunction so.
Canadian geese are flying south, so winter must be coming.",,0,language science,grammar,Is the sentence simple or compound?,text_only,question_without_image,multiple_choice,educational_science_qa
scienceqa,r021145,r021145,test,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,neither; the samples have the same temperature | sample B | sample A,2,"hint: The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles.
lecture: The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance.
The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the greater the mass of each particle in the substance and the higher the average speed of the particles, the higher their average kinetic energy.
solution: The particles in both samples have the same average speed, but each particle in sample A has more mass than each particle in sample B. So, the particles in sample A have a higher average kinetic energy than the particles in sample B.
Because the particles in sample A have the higher average kinetic energy, sample A must have the higher temperature.","{""bytes"": ""<bytes:28027>"", ""path"": ""image.png""}",1,natural science,physics,Identify how particle motion affects temperature and pressure,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r017439,r017439,test,Will these magnets attract or repel each other?,attract | repel,0,"hint: Two magnets are placed as shown.
lecture: Magnets can pull or push on each other without touching. When magnets attract, they pull together. When magnets repel, they push apart.
Whether a magnet attracts or repels other magnets depends on the positions of its poles, or ends. Every magnet has two poles: north and south.
Here are some examples of magnets. The north pole of each magnet is labeled N, and the south pole is labeled S.
If opposite poles are closest to each other, the magnets attract. The magnets in the pair below attract.
If the same, or like, poles are closest to each other, the magnets repel. The magnets in both pairs below repel.
solution: To predict if these magnets will attract or repel, look at which poles are closest to each other.
The north pole of one magnet is closest to the south pole of the other magnet. Opposite poles attract. So, these magnets will attract each other.","{""bytes"": ""<bytes:5601>"", ""path"": ""image.png""}",1,natural science,physics,Identify magnets that attract or repel,text_image,question_with_image,multiple_choice,educational_science_qa
scienceqa,r011204,r011204,train,"Which change better matches the sentence?
Small pieces of rock are carried away by water.",drought | erosion,1,,,0,natural science,earth-science,Classify changes to Earth's surface,question_only,question_without_image,multiple_choice,educational_science_qa
