dataset,strategy,sample_id,question,positive_image_ref,negative_sample_id,negative_question,negative_image_ref,lexical_similarity
ai2d,random_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,0.3350081211391969
ai2d,random_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000025,Metamorphic rock becomes magma through what process?,hf://lmms-lab/ai2d-no-mask/test/000025,0.01490527989824019
ai2d,random_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000132,"Using the diagram below, which animal is classified as an herbivore?",hf://lmms-lab/ai2d-no-mask/test/000132,0.017039338603491373
ai2d,random_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000155,"What letter shows a fully grown, mature organism?",hf://lmms-lab/ai2d-no-mask/test/000155,0.017695635478562146
ai2d,random_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000164,The diagram shows the Whitefly Lifecycle. Which stage is the crawler stage?,hf://lmms-lab/ai2d-no-mask/test/000164,0.04192525672130875
ai2d,lexical_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000110,The outermost layer of the Earth is called the ?,hf://lmms-lab/ai2d-no-mask/test/000110,0.42163880642728435
ai2d,lexical_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000005,What is the outermost layer?,hf://lmms-lab/ai2d-no-mask/test/000005,0.3350081211391969
ai2d,lexical_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000004,What is represented y B?,hf://lmms-lab/ai2d-no-mask/test/000004,0.23643937959730413
ai2d,lexical_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000109,The exterior portion of the earth,hf://lmms-lab/ai2d-no-mask/test/000109,0.21987245636600442
ai2d,lexical_wrong_image,ai2d_test_000001,What is the uppermost layer of the earth called?,hf://lmms-lab/ai2d-no-mask/test/000001,ai2d_test_000003,Which layer is between crust and lower mantle?,hf://lmms-lab/ai2d-no-mask/test/000003,0.11859167942358931
