dataset,sample_id,original_id,split,question,choices,answer,text_context,image_ref,has_image,subject,topic,skill,evidence_type,modality_case,answer_format,source_task
ai2d,ai2d_test_000001,ai2d_test_000001,test,What is the uppermost layer of the earth called?,Crust | Inner Core | Outer Core | Upper Mantle,0: Crust,,hf://lmms-lab/ai2d-no-mask/test/000001,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000002,ai2d_test_000002,test,Which is the hottest layer?,E | B | D | C,2: D,,hf://lmms-lab/ai2d-no-mask/test/000002,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000003,ai2d_test_000003,test,Which layer is between crust and lower mantle?,B | E | C | D,1: E,,hf://lmms-lab/ai2d-no-mask/test/000003,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000004,ai2d_test_000004,test,What is represented y B?,none of the above | the mantle | the core | the crust,2: the core,,hf://lmms-lab/ai2d-no-mask/test/000004,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000005,ai2d_test_000005,test,What is the outermost layer?,core | none of the above | crust | mantle,2: crust,,hf://lmms-lab/ai2d-no-mask/test/000005,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000006,ai2d_test_000006,test,How many changes are shown in the diagram?,2 | 4 | 1 | 7,1: 4,,hf://lmms-lab/ai2d-no-mask/test/000006,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000007,ai2d_test_000007,test,The diagram shows the life cycle of a flea? What letter represents the dormant stage?,A | B | E | C,3: C,,hf://lmms-lab/ai2d-no-mask/test/000007,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000008,ai2d_test_000008,test,The diagram shows the life cycle of a flea? What letter represents the eggs?,E | A | C | B,0: E,,hf://lmms-lab/ai2d-no-mask/test/000008,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000009,ai2d_test_000009,test,which stage denotes female fleas ?,B | A | C | D,0: B,,hf://lmms-lab/ai2d-no-mask/test/000009,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000010,ai2d_test_000010,test,which stage denotes larvae ?,A | B | C | D,0: A,,hf://lmms-lab/ai2d-no-mask/test/000010,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
ai2d,ai2d_test_000011,ai2d_test_000011,test,How many changes are shown in the cycle?,4 | 7 | 521 | 0,0: 4,,hf://lmms-lab/ai2d-no-mask/test/000011,1,science,diagram,diagram_question_answering,image_only_context,question_with_image,multiple_choice,diagram_qa
