concept_id,concept_type,concept_name
category:20th_century_american_history,category,20th century American history
category:adaptations,category,Adaptations
category:adaptations_and_natural_selection,category,Adaptations and natural selection
category:age_of_exploration,category,Age of Exploration
category:analyzing_literature,category,Analyzing literature
category:anatomy_and_physiology,category,Anatomy and physiology
category:ancient_egypt_and_kush,category,Ancient Egypt and Kush
category:ancient_mesopotamia,category,Ancient Mesopotamia
category:ancient_south_asia,category,Ancient South Asia
category:animals,category,Animals
category:asia_society_and_environment,category,Asia: society and environment
category:astronomy,category,Astronomy
category:atoms_and_molecules,category,Atoms and molecules
category:audience_purpose_and_tone,category,"Audience, purpose, and tone"
category:author_s_purpose,category,Author's purpose
category:author_s_purpose_and_tone,category,Author's purpose and tone
category:banking_and_finance,category,Banking and finance
category:basic_economic_principles,category,Basic economic principles
category:biochemistry,category,Biochemistry
category:capitalization,category,Capitalization
category:categories,category,Categories
category:cells,category,Cells
category:chemical_reactions,category,Chemical reactions
category:cities,category,Cities
category:classification,category,Classification
category:classification_and_scientific_names,category,Classification and scientific names
category:climate_change,category,Climate change
category:colonial_america,category,Colonial America
category:comprehension_strategies,category,Comprehension strategies
category:conservation,category,Conservation
category:conservation_and_natural_resources,category,Conservation and natural resources
category:context_clues,category,Context clues
category:creative_techniques,category,Creative techniques
category:cultural_celebrations,category,Cultural celebrations
category:descriptive_details,category,Descriptive details
category:designing_experiments,category,Designing experiments
category:developing_and_supporting_arguments,category,Developing and supporting arguments
category:domain_specific_vocabulary,category,Domain-specific vocabulary
category:early_19th_century_american_history,category,Early 19th century American history
category:early_americas,category,Early Americas
category:early_china,category,Early China
category:early_modern_europe,category,Early Modern Europe
category:earth_events,category,Earth events
category:earth_s_features,category,Earth's features
category:ecological_interactions,category,Ecological interactions
category:economics,category,Economics
category:ecosystems,category,Ecosystems
category:editing_and_revising,category,Editing and revising
category:electricity,category,Electricity
category:engineering_practices,category,Engineering practices
category:english_colonies_in_north_america,category,English colonies in North America
category:force_and_motion,category,Force and motion
category:formatting,category,Formatting
category:fossils,category,Fossils
category:genes_to_traits,category,Genes to traits
category:geography,category,Geography
category:government,category,Government
category:greece,category,Greece
category:heat_and_thermal_energy,category,Heat and thermal energy
category:heredity,category,Heredity
category:historical_figures,category,Historical figures
category:independent_reading_comprehension,category,Independent reading comprehension
category:informational_texts_level_1,category,Informational texts: level 1
category:islamic_empires,category,Islamic empires
category:kinetic_and_potential_energy,category,Kinetic and potential energy
category:literary_devices,category,Literary devices
category:magnets,category,Magnets
category:maps,category,Maps
category:materials,category,Materials
category:medieval_asia,category,Medieval Asia
category:mixtures,category,Mixtures
category:natural_resources_and_human_impacts,category,Natural resources and human impacts
category:oceania_geography,category,Oceania: geography
category:oceans_and_continents,category,Oceans and continents
category:opinion_writing,category,Opinion writing
category:particle_motion_and_energy,category,Particle motion and energy
category:persuasive_strategies,category,Persuasive strategies
category:photosynthesis,category,Photosynthesis
category:phrases_and_clauses,category,Phrases and clauses
category:physical_geography,category,Physical Geography
category:physical_and_chemical_change,category,Physical and chemical change
category:plant_reproduction,category,Plant reproduction
category:plants,category,Plants
category:plate_tectonics,category,Plate tectonics
category:poetry_elements,category,Poetry elements
category:pronouns,category,Pronouns
category:pronouns_and_antecedents,category,Pronouns and antecedents
category:read_alone_texts,category,Read-alone texts
category:reconstruction,category,Reconstruction
category:reference_skills,category,Reference skills
category:research_skills,category,Research skills
category:rhyming,category,Rhyming
