resource_id,original_id,split,subject,topic,skill,grade,category,need_image_probability,gate_prediction,completion_decision,known_human_label,known_target,question,choices,hint,lecture,solution,review_bucket
r020593,r020593,test,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9279925695195901,1,need_completion_accidental_missing,,,Select the reptile.,Mojave rattlesnake | rabbit | American bullfrog | ocean sunfish,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A rabbit is a mammal. It has fur and feeds its young milk.
Rabbits live underground in burrows. A group of rabbit burrows is called a warren.
A Mojave rattlesnake is a reptile. It has scaly, waterproof skin.
Rattlesnakes have fangs they can use to inject venom into their prey.
An ocean sunfish is a fish. It lives underwater. It has fins, not limbs.
Ocean sunfish have a flat body and wide fins. They sometimes swim to the ocean's surface to rest in the sun.
An American bullfrog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.",high_confidence_need_completion
r010895,r010895,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9229322909684984,1,need_completion_accidental_missing,,,Select the amphibian.,olive toad | emu | rabbit | anchovy,,Amphibians have moist skin and begin their lives in water.,"An anchovy is a fish. It lives underwater. It has fins, not limbs.
An anchovy is a small fish that lives in the ocean. Like some other types of fish, anchovies swim in large groups called schools.
A rabbit is a mammal. It has fur and feeds its young milk.
Rabbits live underground in burrows. A group of rabbit burrows is called a warren.
An olive toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
An emu is a bird. It has feathers, two wings, and a beak.
Emus cannot fly, but they can run very fast. They run to avoid predators.",high_confidence_need_completion
r010875,r010875,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9167156810560299,1,need_completion_accidental_missing,,,Select the mammal.,human | American toad | alpine newt | green frog,,Mammals have hair or fur and feed their young milk.,"An American toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
An alpine newt is an amphibian. It has moist skin and begins its life in water.
Some newts live in water. Other newts live on land but lay their eggs in water.
A human is a mammal. It has hair and feeds its young milk.
Humans are a type of animal called a primate. Monkeys and apes are also primates.
A green frog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.",high_confidence_need_completion
r016999,r016999,test,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9159785806447859,1,need_completion_accidental_missing,,,Select the reptile.,Chinese alligator | California toad | grass frog | eastern newt,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A Chinese alligator is a reptile. It has scaly, waterproof skin.
Alligators live in and around water. They can live near ponds, rivers, marshes, and lakes.
An eastern newt is an amphibian. It has moist skin and begins its life in water.
Some newts live in water. Other newts live on land but lay their eggs in water.
A grass frog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.
A California toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.",high_confidence_need_completion
r002313,r002313,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9145089299183929,1,need_completion_accidental_missing,,,Select the mammal.,bottlenose dolphin | red-headed poison frog | cane toad | parrotfish,,Mammals have hair or fur and feed their young milk.,"A red-headed poison frog is an amphibian. It has moist skin and begins its life in water.
Poison dart frogs come in many bright colors. Their bright color warns other animals that these frogs are poisonous.
A parrotfish is a fish. It lives underwater. It has fins, not limbs.
Parrotfish have fins and live underwater near coral reefs. They get their name from their bird-like beak!
A bottlenose dolphin is a mammal. It has hair and feeds its young milk.
Dolphins may look like sharks or other fish, but they are mammals! When a baby dolphin is born, it has hair around its jaw. This hair falls out as the dolphin grows.
A cane toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.",high_confidence_need_completion
r012050,r012050,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9143457540181301,1,need_completion_accidental_missing,,,Select the reptile.,domestic pig | tortoise | leafy seadragon | American toad,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A leafy seadragon is a fish. It lives underwater. It has fins, not limbs.
A seadragon's body looks like a clump of seaweed. This helps the seadragon hide from its predators.
An American toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
A domestic pig is a mammal. It has hair and feeds its young milk.
Pigs are omnivores. This means that they can eat both plants and animals.
A tortoise is a reptile. It has scaly, waterproof skin.
A tortoise's shell protects it from predators. When a tortoise feels threatened, it can pull its head and legs inside its shell.",high_confidence_need_completion
r010039,r010039,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9139918762965624,1,need_completion_accidental_missing,,,Select the fish.,horned frog | cassowary | Amazon tree boa | tiger shark,,"Fish live underwater. They have fins, not limbs.","An Amazon tree boa is a reptile. It has scaly, waterproof skin.
Tree boas eat small mammals, birds, lizards, and frogs. Tree boas only need to eat once every few months!
A cassowary is a bird. It has feathers, two wings, and a beak.
Cassowaries have wings, but they cannot fly! They can run very fast.
A horned frog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.
A tiger shark is a fish. It lives underwater. It has fins, not limbs.
Tiger sharks are nocturnal. This means that they are active mostly at night.",high_confidence_need_completion
r013807,r013807,validation,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9124101069721486,1,need_completion_accidental_missing,,,Select the reptile.,Banggai cardinalfish | seahorse | horned frog | Madagascar day gecko,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A seahorse is a fish. It lives underwater. It has fins, not limbs.
Seahorses live in shallow, warm water. They can use their tails to hold on to plants.
A Banggai cardinalfish is a fish. It lives underwater. It has fins, not limbs.
Cardinalfish often live near coral reefs. They are nocturnal, which means that they are active mostly at night.
A Madagascar day gecko is a reptile. It has scaly, waterproof skin.
Many geckos have special pads on their toes. The pads help them climb up plants and rocks.
A horned frog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.",high_confidence_need_completion
r021009,r021009,test,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.909916181413155,1,need_completion_accidental_missing,,,Select the fish.,cane toad | gray tree frog | ocean sunfish | spotted dolphin,,"Fish live underwater. They have fins, not limbs.","A spotted dolphin is a mammal. It has hair and feeds its young milk.
Dolphins may look like sharks or other fish, but they are mammals! When a baby dolphin is born, it has hair around its jaw. This hair falls out as the dolphin grows.
A gray tree frog is an amphibian. It has moist skin and begins its life in water.
There are many kinds of tree frogs. Most tree frogs are very small. They can walk on thin branches.
An ocean sunfish is a fish. It lives underwater. It has fins, not limbs.
Ocean sunfish have a flat body and wide fins. They sometimes swim to the ocean's surface to rest in the sun.
A cane toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.",high_confidence_need_completion
r011463,r011463,train,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",grade5,Classification,0.9096474388086809,1,need_completion_accidental_missing,,,Select the amphibian.,domestic pig | western rattlesnake | green tree frog | water buffalo,,Amphibians have moist skin and begin their lives in water.,"A domestic pig is a mammal. It has hair and feeds its young milk.
Pigs are omnivores. This means that they can eat both plants and animals.
A western rattlesnake is a reptile. It has scaly, waterproof skin.
Rattlesnakes have fangs they can use to inject venom into their prey.
A water buffalo is a mammal. It has hair and feeds its young milk.
Water buffaloes live in Asia. Some people raise water buffaloes for their milk.
A green tree frog is an amphibian. It has moist skin and begins its life in water.
There are many kinds of tree frogs. Most tree frogs are very small. They can walk on thin branches.",high_confidence_need_completion
