annotation_id,resource_id,original_id,split,has_image,suggested_missing_type,candidate_reason,human_label,label_confidence,label_note,subject,topic,topic_count,topic_missing_rate,skill,skill_count,skill_missing_rate,grade,category,question,choices,answer,hint,lecture,solution,text_length,word_count
mt0301,r007460,r007460,train,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the reptile.,hippopotamus | emerald tree boa | gray wolf | elephant seal,1,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","An emerald tree boa is a reptile. It has scaly, waterproof skin. Tree boas eat small mammals, birds, lizards, and frogs. Tree boas only need to eat once every few months! A gray wolf is a mammal. It has fur and feeds its young milk. Wolves often live in family groups. A wolf mother, father, and their children travel together. An elephant seal is a mammal. It has hair and feeds its young milk. Seals have flippers instead of arms! They use their flippers to swim underwater or to crawl on the beach. A hippopotamus is a mammal. It has hair and feeds its young milk. Hippopotamuses keep cool by lying in mud or water.",772,136
mt0302,r005370,r005370,train,1,observed_reference,has_image=1 reference sample for calibration,,,,natural science,physics,3215,0.3150855365474339,Identify how particle motion affects temperature and pressure,277,0.0,grade6,Particle motion and energy,Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature?,sample B | neither; the samples have the same temperature | sample A,2,"The diagrams below show two pure samples of gas in identical closed, rigid containers. Each colored ball represents one gas particle. Both samples have the same number of particles.","The temperature of a substance depends on the average kinetic energy of the particles in the substance. The higher the average kinetic energy of the particles, the higher the temperature of the substance. The kinetic energy of a particle is determined by its mass and speed. For a pure substance, the greater the mass of each particle in the substance and the higher the average speed of the particles, the higher their average kinetic energy.","Each particle in the two samples has the same mass, but the particles in sample A have a higher average speed than the particles in sample B. So, the particles in sample A have a higher average kinetic energy than the particles in sample B. Because the particles in sample A have the higher average kinetic energy, sample A must have the higher temperature.",1169,196
mt0303,r003452,r003452,train,1,observed_reference,has_image=1 reference sample for calibration,,,,natural science,chemistry,1194,0.5510887772194305,Compare concentrations of solutions,295,0.0,grade8,Solutions,Which solution has a higher concentration of purple particles?,neither; their concentrations are the same | Solution B | Solution A,2,The diagram below is a model of two solutions. Each purple ball represents one particle of solute.,"A solution is made up of two or more substances that are completely mixed. In a solution, solute particles are mixed into a solvent. The solute cannot be separated from the solvent by a filter. For example, if you stir a spoonful of salt into a cup of water, the salt will mix into the water to make a saltwater solution. In this case, the salt is the solute. The water is the solvent. The concentration of a solute in a solution is a measure of the ratio of solute to solvent. Concentration can be described in terms of particles of solute per volume of solvent. concentration = particles of solute / volume of solvent","In Solution A and Solution B, the purple particles represent the solute. To figure out which solution has a higher concentration of purple particles, look at both the number of purple particles and the volume of the solvent in each container. Use the concentration formula to find the number of purple particles per milliliter. Solution A has more purple particles per milliliter. So, Solution A has a higher concentration of purple particles.",1300,223
mt0304,r015823,r015823,validation,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the bird.,Surinam horned frog | cassowary | western toad | poison dart frog,1,,"Birds have feathers, two wings, and a beak.","A poison dart frog is an amphibian. It has moist skin and begins its life in water. Poison dart frogs come in many bright colors. Their bright color warns other animals that these frogs are poisonous. A western toad is an amphibian. It has moist skin and begins its life in water. Toads do not have teeth! They swallow their food whole. A Surinam horned frog is an amphibian. It has moist skin and begins its life in water. Frogs live near water or in damp places. Most frogs lay their eggs in water. A cassowary is a bird. It has feathers, two wings, and a beak. Cassowaries have wings, but they cannot fly! They can run very fast.",767,139
mt0305,r013588,r013588,validation,0,accidental_missing_candidate,has_image=0 but reliable topic/skill missing_rate <= 0.2; check sparse skill stats manually,,,,social science,us-history,510,0.0843137254901961,Thomas Edison,1,1.0,grade2,Historical figures,Complete the sentence. Thomas Edison was a famous ().,inventor | athlete | soldier | composer,0,,,"Thomas Alva Edison was a famous inventor. An inventor is someone who comes up with new ideas and tools. Thomas Edison came up with many different inventions during his life. Some of them were successful, and some of them were not. A few of them changed the way that people live every day.",391,66
mt0306,r009618,r009618,train,0,accidental_missing_candidate,has_image=0 but reliable topic/skill missing_rate <= 0.2; check sparse skill stats manually,,,,social science,us-history,510,0.0843137254901961,Abraham Lincoln,2,1.0,grade3,Historical figures,What is Abraham Lincoln famous for?,He helped write the Declaration of Independence. | He gave women the right to vote. | He helped to end slavery.,2,,,Abraham Lincoln was the 16 th president of the United States. He is famous for helping to end slavery. He is also famous for leading the country through the Civil War.,323,56
mt0307,r006114,r006114,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,biology,4098,0.486822840409956,Identify animals with and without backbones,53,1.0,grade2,Classification,Select the animal that does not have a backbone.,dung beetle | tiger,0,"Hint: Insects, spiders, and worms do not have backbones.","Some animals have a backbone. The backbone is made of many bones in an animal's back. An animal's backbone helps connect the different parts of its body. In the drawings below, each animal's backbone is colored orange. Other animals do not have a backbone. In fact, these animals don't have any bones! Some animals without backbones have a hard outer cover. Other animals have a soft body.","A tiger is a mammal. Like other mammals, a tiger has a backbone. A dung beetle is an insect. Like other insects, a dung beetle does not have a backbone. It has a hard outer cover.",700,124
mt0308,r017106,r017106,test,0,accidental_missing_candidate,has_image=0 but reliable topic/skill missing_rate <= 0.2; check sparse skill stats manually,,,,natural science,literacy-in-science,34,0.1470588235294118,Science literacy: how does the nervous system produce phantom pain?,2,1.0,grade8,Anatomy and physiology,Why might a person have a limb amputated?,"After an accident, the limb is too badly injured to heal. | The limb has healed from a serious disease.",0,"If a person's body is damaged, the body can often heal itself. But sometimes, disease or injury can cause damage that is too severe to heal. When a limb is too severely damaged to heal, it may need to be amputated, or removed.
For example, a doctor can treat an infected limb with medicine. But if the infection does not go away, it can spread to the rest of the person's body. To stop the infection from spreading, the infected limb may need to be amputated.
In other cases, when a limb is badly injured, the skin, bones, muscles, and nerves may be severely damaged. If the damaged tissue cannot heal, it may die. The severely damaged or dead tissue then needs to be amputated.",,,829,152
mt0309,r004255,r004255,train,0,accidental_missing_candidate,has_image=0 but reliable topic/skill missing_rate <= 0.2; check sparse skill stats manually,,,,social science,us-history,510,0.0843137254901961,The Constitutional Convention,1,1.0,grade7,The Early Republic,"In 1787, a group of representatives from the states wrote the United States Constitution. What is the Constitution?",the announcement of the colonies' independence from Great Britain | a list of the rights and powers that every state constitution must include | the written plan for the government of the United States | the peace treaty that ended the Revolutionary War,2,,,"The United States Constitution is the written plan for the government of the United States. It describes the structure and powers of the central government and is one of the country's founding documents. How was the Constitution written? The Constitution was written in 1787 by a group of representatives from the states. Their four-month meeting was later called the Constitutional Convention. The representatives created the government structure that is still in place today, more than 200 years later!",883,136
mt0310,r018033,r018033,test,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,Describe and construct flowering plant life cycles,19,0.2631578947368421,grade4,Plants,What can seeds look like?,"Seeds are always small. | Seeds can be many shapes, colors, and sizes. | Seeds are always black or white. | Seeds are always round or oval-shaped.",1,,"Many plants have flowers. These plants can use their flowers to reproduce, or make new plants like themselves. How do plants use their flowers to reproduce? First, the male part of the flower makes pollen, and the female part makes eggs. Animals, wind, or water can move pollen. Pollination is what happens when pollen is moved to the female part of the flower. After pollination, sperm from the pollen can combine with the eggs. This is called fertilization. The fertilized eggs grow into seeds. The fruit grows around the seeds. Later, a seed can fall out of the fruit. It can germinate, or start to grow into a new plant.",Seeds can be big or small. This coconut seed is big. Seeds can be many different shapes. These maple seeds are long and flat. Seeds can be more than one color. These pistachio seeds are green and brown.,1008,177
mt0311,r011641,r011641,train,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,Identify functions of plant cell parts,10,1.0,grade7,Cells,Select the part whose main job is to direct a plant cell's activities by sending instructions to different parts of the cell.,cytoplasm | Golgi | nucleus | cell membrane,2,,Plant cells are made up of many different parts. Each cell part has a function that helps the cell survive and grow. Some cell parts are called organelles. Organelles are cell structures that are surrounded by their own membranes. Here are some of the organelles in plant cells: Chloroplasts and mitochondria work together to help the cell get the energy it needs. The chloroplasts use photosynthesis to make sugar. The mitochondria break down this sugar and release energy that the cell can use for all of its activities. The nucleus directs cell activities by sending instructions to different parts of the cell. The nucleus contains structures called chromosomes. The chromosomes are made mostl...,"The nucleus is the master control center for cell activities. The nucleus sends signals and instructions to different parts of the cell. Not every cell has a nucleus, but most plant and animal cells have one.",2760,455
mt0312,r020185,r020185,test,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,reference-skills,724,1.0,Use guide words,697,1.0,grade5,Reference skills,Which word would you find on a dictionary page with the following guide words? silver - strait,soil | swap,0,,"Guide words appear on each page of a dictionary. They tell you the first word and last word on the page. The other words on the page come between the guide words in alphabetical order. To put words in alphabetical order, put them in order by their first letters. If the first letters are the same, look at the second letters. If the second letters are the same, look at the third letters, and so on. If one word is shorter, and there are no more letters to compare, then the shorter word comes first in alphabetical order. For example, be comes before bed.","Put the words in alphabetical order. Since soil is between the guide words silver - strait, it would be found on that page.",793,146
mt0313,r004882,r004882,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,figurative-language,1260,1.0,Interpret figures of speech,257,1.0,grade10,Literary devices,"What does the hyperbole in this text suggest? When you smile The whole world stops and stares for a while —Bruno Mars, ""Just the Way You Are""",This person has an attention-getting smile. | People always stare at this person's smile.,0,,Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive. Hyperbole is an obvious exaggeration that is not meant to be taken literally. I ate so much that I think I might explode!,"The text uses hyperbole, an obvious exaggeration that is not meant to be taken literally. The hyperbole the whole world stops and stares for a while suggests that this person has an attention-getting smile. Her smile does not literally cause all the people on earth to stop in their tracks.",778,135
mt0314,r005612,r005612,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,figurative-language,1260,1.0,"Classify the figure of speech: euphemism, hyperbole, oxymoron, paradox",94,1.0,grade11,Literary devices,"Which figure of speech is used in this text? Kaylee and Eddie had met before through mutual friends, but they had never been alone together until their first date.",hyperbole | oxymoron,1,,"Figures of speech are words or phrases that use language in a nonliteral or unusual way. They can make writing more expressive. A euphemism is a polite or indirect expression that is used to de-emphasize an unpleasant topic. The head of Human Resources would never refer to firing people, only to laying them off. Hyperbole is an obvious exaggeration that is not meant to be taken literally. I ate so much that I think I might explode! An oxymoron is a joining of two seemingly contradictory terms. Some reviewers are calling this book a new classic. A paradox is a statement that might at first appear to be contradictory, but that may in fact contain some truth. Always expect the unexpected.","The text uses an oxymoron, a joining of two seemingly contradictory terms. Alone together is a contradiction, because being alone means by yourself, but together means with someone else.",1072,181
mt0315,r010432,r010432,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,physics,3215,0.3150855365474339,Identify whether objects are accelerating,20,1.0,grade8,"Velocity, acceleration, and forces",Which statement describes the boy's motion?,The boy has a constant velocity. | The boy is accelerating.,0,A boy is lying still in his bed as he sleeps through the night.,"An object's velocity describes its speed and its direction. An object has a constant velocity when neither its speed nor its direction is changing. So, an object has a constant velocity when the object is: moving in a straight line at a constant speed, or remaining motionless. If an object does not have a constant velocity, the object is accelerating. An object is accelerating when either its speed or its direction is changing. So, an object is accelerating when the object is: speeding up, slowing down, or changing direction.","The boy is remaining motionless. So, the boy has a constant velocity.",774,131
mt0316,r017957,r017957,test,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,biology,4098,0.486822840409956,Genetics vocabulary: dominant and recessive,205,1.0,grade8,Genes to traits,"Based on this information, what is this plant's phenotype for the growth pattern trait?",bush growth | climbing growth,1,"This passage describes the growth pattern trait in rose plants:

In a group of rose plants, some individuals have climbing growth and others have bush growth. In this group, the gene for the growth pattern trait has two alleles. The allele for bush growth (g) is recessive to the allele for climbing growth (G).
A certain rose plant from this group has the homozygous genotype GG for the growth pattern gene.","All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait. For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inh...","The rose plant's genotype for the growth pattern gene is GG. The rose plant's genotype of GG has only G allelles. The G allele is for climbing growth. So, the rose plant's phenotype for the growth pattern trait must be climbing growth. To check this answer, consider whether the rose plant's alleles are dominant or recessive. The allele for bush growth (g) is recessive to the allele for climbing growth (G). This means G is a dominant allele, and g is a recessive allele. The rose plant's genotype of GG has two dominant alleles. An organism with at least one dominant allele for a gene will have the dominant allele's version of the trait. So, the rose plant's phenotype for the growth pattern ...",3918,685
mt0317,r015164,r015164,validation,0,accidental_missing_candidate,has_image=0 but reliable topic/skill missing_rate <= 0.2; check sparse skill stats manually,,,,social science,us-history,510,0.0843137254901961,Jackie Robinson,1,1.0,grade3,Historical figures,What sport did Jackie Robinson play for a living?,baseball | soccer | volleyball | hockey,0,,,Jackie Robinson played baseball for a living. He played for a team called the Brooklyn Dodgers. This picture shows him in his Dodgers uniform.,241,37
mt0318,r016463,r016463,validation,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,biology,4098,0.486822840409956,Genetics vocabulary: genotype and phenotype,251,1.0,grade6,Genes to traits,"Based on this information, what is this tomato plant's phenotype for the fruit color trait?",red fruit | FF,0,"In a group of tomato plants, some individuals have red fruit and others have yellow fruit. In this group, the gene for the fruit color trait has two alleles. The allele F is for red fruit, and the allele f is for yellow fruit.
A certain tomato plant from this group has red fruit. This plant has two alleles for red fruit.","All organisms have pieces of hereditary material called genes, which are passed from parents to offspring. Genes contain instructions for building the parts of an organism. An organism's genes affect its observable traits, including its appearance, its behavior, and which diseases it may have. Genes may have different alleles, or forms, that can cause different versions of a trait. For example, flower color is a trait in pea plants. The gene for this trait has two possible alleles. Each allele is represented by an uppercase or lowercase letter. The allele F is for purple flowers, and the allele f is for white flowers. Each pea plant has two alleles for the flower color gene—one allele inh...","An organism's phenotype for a trait is its observable version of that trait. The tomato plant's observable version of the fruit color trait is red fruit. So, the plant's phenotype for the fruit color trait is red fruit.",1764,308
mt0319,r014428,r014428,validation,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the fish.,wombat | cobra | American toad | giant moray,3,,"Fish live underwater. They have fins, not limbs.","An American toad is an amphibian. It has moist skin and begins its life in water. Toads do not have teeth! They swallow their food whole. A giant moray is a fish. It lives underwater. It has fins, not limbs. Eels are long and thin. They may have small fins. They look like snakes, but they are fish! A cobra is a reptile. It has scaly, waterproof skin. Most cobras have a wide, flat hood below their head. A cobra can display its hood to scare away a predator. A wombat is a mammal. It has fur and feeds its young milk. Wombats have strong claws on their front feet. They use their claws to dig underground holes called burrows.",747,137
mt0320,r006728,r006728,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,natural science,earth-science,1152,0.2821180555555556,Classify changes to Earth's surface I,21,1.0,grade3,Earth events,Which change best matches the sentence? Pieces of rock and soil are washed away by water.,wildfire | erosion | earthquake,1,,,,127,19
mt0321,r010020,r010020,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,writing-strategies,1650,0.9157575757575758,Which text is most formal?,96,1.0,grade11,"Audience, purpose, and tone",Which set of instructions is more formal?,"Wash hands, utensils, and work surfaces after touching raw meat or poultry. | If you're going to be touching raw meat or poultry, you'd better wash your hands, forks, knives, and cutting boards afterward.",0,,"Informal writing is typically used in casual situations or when communicating with someone you know well. Informal language often expresses familiarity and tends to sound more like speech. It uses more conversational language, such as slang, idioms, abbreviations, imprecise language, and contractions. Formal writing is typically used in academic and business writing or when writing directly to an authority figure. It tends to be more courteous and impersonal, avoiding overly familiar or conversational language. Compare the following sentences. Informal: Yeah, ostriches can't fly, but I think they're awesome. More formal: Ostriches may be flightless, but they're remarkable runners. Most fo...","The second set of instructions is more formal. It uses more impersonal language and a direct command (wash utensils). The other set of instructions uses more conversational language (if you're going to be touching, you'd better).",1238,182
mt0322,r011367,r011367,train,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the reptile.,humpback whale | gray tree frog | green iguana | California toad,2,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A gray tree frog is an amphibian. It has moist skin and begins its life in water. There are many kinds of tree frogs. Most tree frogs are very small. They can walk on thin branches. A California toad is an amphibian. It has moist skin and begins its life in water. Toads do not have teeth! They swallow their food whole. A humpback whale is a mammal. It has hair and feeds its young milk. Whales are mammals that live in the ocean. Humpback whales have small hairs that grow from bumps around their mouth. A green iguana is a reptile. It has scaly, waterproof skin. Iguanas are a type of lizard. Iguanas eat plants and fruit.",784,140
mt0323,r016007,r016007,validation,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the reptile.,horned frog | red-eyed tree frog | leafy seadragon | helmeted iguana,3,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","A horned frog is an amphibian. It has moist skin and begins its life in water. Frogs live near water or in damp places. Most frogs lay their eggs in water. A helmeted iguana is a reptile. It has scaly, waterproof skin. Iguanas are a type of lizard. Iguanas eat plants and fruit. A red-eyed tree frog is an amphibian. It has moist skin and begins its life in water. A red-eyed tree frog has sticky pads on its toes. The sticky pads help the red-eyed tree frog hold on to leaves. A leafy seadragon is a fish. It lives underwater. It has fins, not limbs. A seadragon's body looks like a clump of seaweed. This helps the seadragon hide from its predators.",814,145
mt0324,r017238,r017238,test,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,figurative-language,1260,1.0,Recall the source of an allusion,337,1.0,grade12,Literary devices,"What is the source of the allusion in the sentence below? The makeup artist's devotion to his work has at times turned into a personal obsession with certain clients, leading some to call him a modern-day Pygmalion.",Greek mythology | the Bible,0,,"An allusion is a brief mention of something or someone well known, often from mythology, history, or literature. An allusion lets you reference ideas from an entire story in just a few words. The protean nature of the disease makes it difficult to diagnose. The word protean is an allusion to the sea god Proteus in Greek mythology. Because the sea is constantly changing, to describe something as protean suggests that it is variable or in flux.","The source of the allusion Pygmalion is Greek mythology. In Greek mythology, Pygmalion was a king who fell in love with his sculpture of an ideal woman. The statue then came to life in answer to his prayer. The allusion Pygmalion means a person who becomes overly invested in his or her creation.",993,171
mt0325,r000056,r000056,train,0,ambiguous_missing_candidate,"has_image=0 and topic/skill missing_rate in [0.35, 0.65] or fallback",,,,natural science,biology,4098,0.486822840409956,"Identify mammals, birds, fish, reptiles, and amphibians",342,0.2192982456140351,grade5,Classification,Select the reptile.,eagle ray | dwarf crocodile | California newt | harbor seal,1,,"Reptiles have scaly, waterproof skin. Most reptiles live on land.","An eagle ray is a fish. It lives underwater. It has fins, not limbs. Rays have a different shape than many other fish. Rays are large and flat. They have wide, triangle-shaped fins that help them swim long distances. A harbor seal is a mammal. It has fur and feeds its young milk. Seals have flippers instead of arms! They use their flippers to swim underwater or to crawl on the beach. A dwarf crocodile is a reptile. It has scaly, waterproof skin. Crocodiles hunt their prey in or near water. A California newt is an amphibian. It has moist skin and begins its life in water. Some newts live in water. Other newts live on land but lay their eggs in water.",811,144
mt0326,r004952,r004952,train,0,structural_absence_candidate,has_image=0 and topic/skill missing_rate >= 0.9,,,,language science,writing-strategies,1650,0.9157575757575758,Distinguish facts from opinions,89,1.0,grade3,Opinion writing,Which sentence states a fact?,Monarch butterflies have orange wings with black and white markings. | It is wrong to catch monarch butterflies or any other insect.,0,,"A fact is something that can be proved to be true. The month of July has more days than the month of June. This is a fact. It can be proved by looking at a calendar and counting the number of days in each month. An opinion is something that a person believes, thinks, or feels. An opinion cannot be proved true. July is a better month than June for camping. This is an opinion. People may have different opinions about which month is ""better"" for camping.","The first sentence states a fact. Monarch butterflies have orange wings with black and white markings. It can be proved by observing monarch butterflies. The second sentence states an opinion. It is wrong to catch monarch butterflies or any other insect. Wrong shows what a person believes, thinks, or feels. Another person might have a different opinion about what is right or wrong.",1009,176
