source_concept_id,target_concept_id,relation,source
subject:social_science,topic:geography,parent_of,scienceqa_metadata
topic:geography,category:geography,parent_of,scienceqa_metadata
category:geography,skill:read_a_map_cardinal_directions,parent_of,scienceqa_metadata
subject:social_science,grade:grade2,parent_of,scienceqa_metadata
subject:natural_science,topic:science_and_engineering_practices,parent_of,scienceqa_metadata
topic:science_and_engineering_practices,category:designing_experiments,parent_of,scienceqa_metadata
category:designing_experiments,skill:identify_the_experimental_question,parent_of,scienceqa_metadata
subject:natural_science,grade:grade8,parent_of,scienceqa_metadata
subject:natural_science,grade:grade7,parent_of,scienceqa_metadata
subject:language_science,topic:verbs,parent_of,scienceqa_metadata
topic:verbs,category:verb_tense,parent_of,scienceqa_metadata
category:verb_tense,skill:is_the_sentence_in_the_past_present_or_future_tense,parent_of,scienceqa_metadata
subject:language_science,grade:grade2,parent_of,scienceqa_metadata
subject:natural_science,topic:chemistry,parent_of,scienceqa_metadata
topic:chemistry,category:physical_and_chemical_change,parent_of,scienceqa_metadata
category:physical_and_chemical_change,skill:identify_physical_and_chemical_changes,parent_of,scienceqa_metadata
subject:natural_science,grade:grade4,parent_of,scienceqa_metadata
subject:language_science,topic:writing_strategies,parent_of,scienceqa_metadata
topic:writing_strategies,category:pronouns,parent_of,scienceqa_metadata
category:pronouns,skill:identify_vague_pronoun_references,parent_of,scienceqa_metadata
subject:language_science,grade:grade11,parent_of,scienceqa_metadata
subject:natural_science,topic:biology,parent_of,scienceqa_metadata
topic:biology,category:genes_to_traits,parent_of,scienceqa_metadata
category:genes_to_traits,skill:use_punnett_squares_to_calculate_probabilities_of_offspring_types,parent_of,scienceqa_metadata
subject:natural_science,topic:physics,parent_of,scienceqa_metadata
topic:physics,category:particle_motion_and_energy,parent_of,scienceqa_metadata
category:particle_motion_and_energy,skill:identify_how_particle_motion_affects_temperature_and_pressure,parent_of,scienceqa_metadata
category:physical_and_chemical_change,skill:compare_physical_and_chemical_changes,parent_of,scienceqa_metadata
topic:biology,category:ecological_interactions,parent_of,scienceqa_metadata
category:ecological_interactions,skill:interpret_food_webs_ii,parent_of,scienceqa_metadata
subject:natural_science,grade:grade6,parent_of,scienceqa_metadata
topic:chemistry,category:solutions,parent_of,scienceqa_metadata
category:solutions,skill:compare_concentrations_of_solutions,parent_of,scienceqa_metadata
topic:physics,category:magnets,parent_of,scienceqa_metadata
category:magnets,skill:compare_strengths_of_magnetic_forces,parent_of,scienceqa_metadata
subject:natural_science,grade:grade3,parent_of,scienceqa_metadata
subject:natural_science,topic:units_and_measurement,parent_of,scienceqa_metadata
topic:units_and_measurement,category:units_and_measurement,parent_of,scienceqa_metadata
category:units_and_measurement,skill:choose_metric_units_of_volume,parent_of,scienceqa_metadata
subject:natural_science,grade:grade5,parent_of,scienceqa_metadata
topic:biology,category:plants,parent_of,scienceqa_metadata
category:plants,skill:describe_and_construct_flowering_plant_life_cycles,parent_of,scienceqa_metadata
topic:writing_strategies,category:editing_and_revising,parent_of,scienceqa_metadata
category:editing_and_revising,skill:suggest_appropriate_revisions,parent_of,scienceqa_metadata
topic:biology,category:traits_and_heredity,parent_of,scienceqa_metadata
category:traits_and_heredity,skill:inherited_and_acquired_traits_use_evidence_to_support_a_statement,parent_of,scienceqa_metadata
topic:physics,category:materials,parent_of,scienceqa_metadata
category:materials,skill:identify_properties_of_an_object,parent_of,scienceqa_metadata
topic:geography,category:state_capitals,parent_of,scienceqa_metadata
category:state_capitals,skill:identify_state_capitals_of_the_southeast,parent_of,scienceqa_metadata
subject:social_science,grade:grade3,parent_of,scienceqa_metadata
topic:biology,category:heredity,parent_of,scienceqa_metadata
category:heredity,skill:identify_inherited_and_acquired_traits,parent_of,scienceqa_metadata
category:genes_to_traits,skill:genetics_vocabulary_dominant_and_recessive,parent_of,scienceqa_metadata
topic:physics,category:states_of_matter,parent_of,scienceqa_metadata
category:states_of_matter,skill:identify_solids_and_liquids,parent_of,scienceqa_metadata
subject:natural_science,grade:grade2,parent_of,scienceqa_metadata
subject:language_science,topic:figurative_language,parent_of,scienceqa_metadata
topic:figurative_language,category:literary_devices,parent_of,scienceqa_metadata
category:literary_devices,skill:classify_figures_of_speech_review,parent_of,scienceqa_metadata
subject:language_science,grade:grade9,parent_of,scienceqa_metadata
category:materials,skill:compare_properties_of_objects,parent_of,scienceqa_metadata
category:heredity,skill:inherited_and_acquired_traits_use_evidence_to_support_a_statement,parent_of,scienceqa_metadata
category:state_capitals,skill:identify_the_50_state_capitals,parent_of,scienceqa_metadata
