annotation_id,human_label,label_confidence,suggested_missing_type,subject,topic,skill,question,choices,label_note
mt0004,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,great white shark | olive toad | American alligator | western gorilla,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0006,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,Amazon tree boa | red-eyed tree frog | poison dart frog | salmon,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0009,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of plant cell parts,"Select the part whose main job is to store nutrients, water, and waste in a plant cell.",Golgi | chromosomes | nucleus | vacuole,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0011,structural_absence,0.78,ambiguous_missing_candidate,natural science,biology,Identify ecosystems,Select the taiga ecosystem.,"This ecosystem has:
warm summers and warm winters
a rainy season and a dry season
soil that is poor in nutrients | This ecosystem has:
long, cold winters and short, cool summers
many evergreen trees
soil that is poor in nutrients | This ecosystem has:
year-round rain and warm temperatures
soil that is poor in nutrients
many different types of organisms","AUTO: structural_absence; skill/category is primarily text, fact, unit, formula, or source reasoning."
mt0016,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the fish.,albatross | elongated tortoise | green sea turtle | manta ray,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0018,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify ecosystems,Select the tropical coral reef ecosystem.,"This ecosystem has:
land that is covered with water during most of the year
soil that is rich in nutrients
other water ecosystems nearby | This ecosystem has:
shallow, salty water
bright sunlight
many different types of organisms","AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0024,structural_absence,0.78,ambiguous_missing_candidate,natural science,chemistry,Describe energy changes in chemical reactions,"Complete the statement. During this chemical reaction, the solution becomes ().",colder | warmer,"AUTO: structural_absence; skill/category is primarily text, fact, unit, formula, or source reasoning."
mt0025,ambiguous,0.66,ambiguous_missing_candidate,natural science,biology,"Identify mammals, birds, fish, reptiles, and amphibians",Select the reptile.,salmon | human | green chameleon | piranha,"AUTO: ambiguous; text choices may be sufficient, but visual support could be pedagogically relevant."
mt0027,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Identify functions of plant cell parts,Select the part whose main job is to give strength and stiffness to a plant cell.,cytoplasm | chromosomes | cell wall | Golgi,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
mt0035,ambiguous,0.62,ambiguous_missing_candidate,natural science,biology,Body systems: digestion,Which job does the digestive system do?,helps cells get building materials from food | helps make food,"AUTO: ambiguous; no explicit visual dependency, but missing-type cannot be decided confidently from text alone."
