resource_id,original_id,split,question,choices_json,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,has_image,image_ref,text_length,word_count
r000000,q001,train,Which tool helps you measure temperature?,"[""ruler"", ""thermometer"", ""magnet""]",thermometer,,,grade2,natural science,weather and climate,measurement,read a thermometer,A thermometer measures temperature.,Choose thermometer.,1,images/q001.png,133,15
r000001,q002,train,What force pulls objects toward Earth?,"[""gravity"", ""friction"", ""light""]",gravity,,,grade3,natural science,forces and motion,forces,identify gravity,Gravity pulls objects downward.,The answer is gravity.,0,,127,17
r000002,q003,train,Which animal has a backbone?,"[""worm"", ""fish"", ""jellyfish""]",fish,,,grade3,natural science,animals,classification,classify vertebrates,Vertebrates have backbones.,Fish are vertebrates.,1,images/q003.png,109,14
r000003,q004,train,Choose the sentence with correct punctuation.,"[""Run fast"", ""Run fast!"", ""Run fast""]",Run fast!,,,grade2,language science,punctuation,grammar,use exclamation marks,An exclamation mark shows strong feeling.,The sentence uses punctuation.,0,,157,22
r000004,q005,train,Which object is magnetic?,"[""iron nail"", ""paper"", ""wood""]",iron nail,,,grade4,natural science,matter,properties,identify magnetic materials,Iron can be magnetic.,An iron nail is magnetic.,1,images/q005.png,105,17
r000005,q006,train,Find the verb in the sentence.,"[""jump"", ""blue"", ""table""]",jump,,,grade2,language science,parts of speech,grammar,identify verbs,A verb is an action word.,Jump is an action.,0,,102,19
r000006,q007,train,Which picture shows a pulley?,"[""A"", ""B"", ""C""]",B,,,grade4,natural science,simple machines,machines,identify pulleys,A pulley uses a wheel and rope.,The pulley has a wheel and rope.,1,images/q007.png,111,22
r000007,q008,train,Which word is a noun?,"[""dog"", ""quickly"", ""blue""]",dog,,,grade2,language science,parts of speech,grammar,identify nouns,"A noun names a person, place, or thing.",Dog is a noun.,0,,104,20
r000008,q009,validation,Which diagram shows evaporation?,"[""A"", ""B"", ""C""]",A,,,grade4,natural science,water cycle,earth science,identify evaporation,Evaporation changes liquid water to gas.,Choose the diagram with vapor rising.,1,images/q009.png,128,19
r000009,q010,validation,Pick the correctly spelled word.,"[""frend"", ""friend"", ""freind""]",friend,,,grade2,language science,spelling,vocabulary,spell common words,Friend is spelled f-r-i-e-n-d.,Friend is correct.,0,,113,15
r000010,q011,validation,Which part of the plant absorbs water?,"[""root"", ""flower"", ""fruit""]",root,,,grade3,natural science,plants,life science,identify plant parts,Roots absorb water.,The root absorbs water.,1,images/q011.png,111,17
r000011,q012,validation,Which word means the opposite of hot?,"[""cold"", ""warm"", ""heat""]",cold,,,grade2,language science,antonyms,vocabulary,identify antonyms,Antonyms have opposite meanings.,Cold is the opposite of hot.,0,,125,20
r000012,q013,test,Which image shows a shadow?,"[""A"", ""B"", ""C""]",C,,,grade3,natural science,light,physical science,identify shadows,A shadow forms when light is blocked.,Choose the blocked-light image.,1,images/q013.png,114,19
r000013,q014,test,Choose the correct contraction for do not.,"[""don't"", ""cant"", ""isn't""]",don't,,,grade2,language science,contractions,grammar,form contractions,Do not becomes don't.,Don't is correct.,0,,110,17
r000014,q015,test,Which object will float?,"[""cork"", ""rock"", ""coin""]",cork,,,grade4,natural science,matter,properties,predict sinking and floating,Some low-density objects float.,Cork floats.,1,images/q015.png,95,13
r000015,q016,test,Identify the adjective.,"[""green"", ""run"", ""desk""]",green,,,grade2,language science,parts of speech,grammar,identify adjectives,An adjective describes a noun.,Green describes something.,0,,107,14
