source_concept_id,target_concept_id,relation,source
subject:natural_science,topic:weather_and_climate,parent_of,scienceqa_metadata
topic:weather_and_climate,category:measurement,parent_of,scienceqa_metadata
category:measurement,skill:read_a_thermometer,parent_of,scienceqa_metadata
subject:natural_science,grade:grade2,parent_of,scienceqa_metadata
subject:natural_science,topic:forces_and_motion,parent_of,scienceqa_metadata
topic:forces_and_motion,category:forces,parent_of,scienceqa_metadata
category:forces,skill:identify_gravity,parent_of,scienceqa_metadata
subject:natural_science,grade:grade3,parent_of,scienceqa_metadata
subject:natural_science,topic:animals,parent_of,scienceqa_metadata
topic:animals,category:classification,parent_of,scienceqa_metadata
category:classification,skill:classify_vertebrates,parent_of,scienceqa_metadata
subject:language_science,topic:punctuation,parent_of,scienceqa_metadata
topic:punctuation,category:grammar,parent_of,scienceqa_metadata
category:grammar,skill:use_exclamation_marks,parent_of,scienceqa_metadata
subject:language_science,grade:grade2,parent_of,scienceqa_metadata
subject:natural_science,topic:matter,parent_of,scienceqa_metadata
topic:matter,category:properties,parent_of,scienceqa_metadata
category:properties,skill:identify_magnetic_materials,parent_of,scienceqa_metadata
subject:natural_science,grade:grade4,parent_of,scienceqa_metadata
subject:language_science,topic:parts_of_speech,parent_of,scienceqa_metadata
topic:parts_of_speech,category:grammar,parent_of,scienceqa_metadata
category:grammar,skill:identify_verbs,parent_of,scienceqa_metadata
subject:natural_science,topic:simple_machines,parent_of,scienceqa_metadata
topic:simple_machines,category:machines,parent_of,scienceqa_metadata
category:machines,skill:identify_pulleys,parent_of,scienceqa_metadata
category:grammar,skill:identify_nouns,parent_of,scienceqa_metadata
subject:natural_science,topic:water_cycle,parent_of,scienceqa_metadata
topic:water_cycle,category:earth_science,parent_of,scienceqa_metadata
category:earth_science,skill:identify_evaporation,parent_of,scienceqa_metadata
subject:language_science,topic:spelling,parent_of,scienceqa_metadata
topic:spelling,category:vocabulary,parent_of,scienceqa_metadata
category:vocabulary,skill:spell_common_words,parent_of,scienceqa_metadata
subject:natural_science,topic:plants,parent_of,scienceqa_metadata
topic:plants,category:life_science,parent_of,scienceqa_metadata
category:life_science,skill:identify_plant_parts,parent_of,scienceqa_metadata
subject:language_science,topic:antonyms,parent_of,scienceqa_metadata
topic:antonyms,category:vocabulary,parent_of,scienceqa_metadata
category:vocabulary,skill:identify_antonyms,parent_of,scienceqa_metadata
subject:natural_science,topic:light,parent_of,scienceqa_metadata
topic:light,category:physical_science,parent_of,scienceqa_metadata
category:physical_science,skill:identify_shadows,parent_of,scienceqa_metadata
subject:language_science,topic:contractions,parent_of,scienceqa_metadata
topic:contractions,category:grammar,parent_of,scienceqa_metadata
category:grammar,skill:form_contractions,parent_of,scienceqa_metadata
category:properties,skill:predict_sinking_and_floating,parent_of,scienceqa_metadata
category:grammar,skill:identify_adjectives,parent_of,scienceqa_metadata
