skill,n,has_image_count,has_image_rate,missing_count,missing_rate
Use guide words,697,0,0.0,697,1.0
Inherited and acquired traits: use evidence to support a statement,585,0,0.0,585,1.0
Compare physical and chemical changes,447,0,0.0,447,1.0
Classify logical fallacies,373,0,0.0,373,1.0
Recall the source of an allusion,337,0,0.0,337,1.0
Identify questions that can be investigated with a set of materials,289,0,0.0,289,1.0
Greetings and closings of letters,288,0,0.0,288,1.0
Identify inherited and acquired traits,280,0,0.0,280,1.0
Identify vague pronoun references,261,0,0.0,261,1.0
Interpret figures of speech,257,0,0.0,257,1.0
Genetics vocabulary: genotype and phenotype,251,0,0.0,251,1.0
"Is the sentence in the past, present, or future tense?",251,0,0.0,251,1.0
Explore words with new or contested usages,215,0,0.0,215,1.0
Genetics vocabulary: dominant and recessive,205,0,0.0,205,1.0
"Is the sentence declarative, interrogative, imperative, or exclamatory?",202,0,0.0,202,1.0
Compare the speeds of moving objects,200,0,0.0,200,1.0
Costs and benefits,197,0,0.0,197,1.0
How is temperature related to thermal energy?,195,0,0.0,195,1.0
Compare properties of materials,151,0,0.0,151,1.0
What's the difference between weather and climate?,149,0,0.0,149,1.0
"Is the sentence simple, compound, complex, or compound-complex?",134,0,0.0,134,1.0
"Is the sentence simple, compound, or complex?",131,0,0.0,131,1.0
How are temperature and mass related to thermal energy?,125,0,0.0,125,1.0
Formatting titles,120,0,0.0,120,1.0
Is the sentence simple or compound?,114,0,0.0,114,1.0
Identify vertebrates and invertebrates,109,0,0.0,109,1.0
Use personification,105,0,0.0,105,1.0
"Classify figures of speech: euphemism, hyperbole, oxymoron, paradox",103,0,0.0,103,1.0
Capitalizing titles,102,0,0.0,102,1.0
"Choose metric units of distance, mass, and volume",99,0,0.0,99,1.0
Choose metric units of volume,99,0,0.0,99,1.0
Choose units of time,97,0,0.0,97,1.0
Which word does not rhyme?,97,0,0.0,97,1.0
Which text is most formal?,96,0,0.0,96,1.0
Classify figures of speech,95,0,0.0,95,1.0
"Classify the figure of speech: euphemism, hyperbole, oxymoron, paradox",94,0,0.0,94,1.0
"Choose customary units of distance, mass, and volume",93,0,0.0,93,1.0
Choose customary units of mass,91,0,0.0,91,1.0
Distinguish facts from opinions,89,0,0.0,89,1.0
Identify plants and animals,88,0,0.0,88,1.0
Classify figures of speech: review,86,0,0.0,86,1.0
Understand overall supply and demand,86,0,0.0,86,1.0
Identify similes and metaphors,85,0,0.0,85,1.0
"Is it a complete sentence, a fragment, or a run-on?",84,0,0.0,84,1.0
Choose customary units of volume,83,0,0.0,83,1.0
Choose metric units of mass,83,0,0.0,83,1.0
Which sentence is more formal?,83,0,0.0,83,1.0
Choose metric units of distance,82,0,0.0,82,1.0
Classify elementary substances and compounds using chemical formulas,82,0,0.0,82,1.0
Classify the figure of speech: review,82,0,0.0,82,1.0
Goods and services,79,0,0.0,79,1.0
Identify changes in gravitational potential energy,71,0,0.0,71,1.0
Identify living and nonliving things,69,0,0.0,69,1.0
Identify physical and chemical changes,68,0,0.0,68,1.0
Estimate temperatures,66,0,0.0,66,1.0
"Classify the figure of speech: anaphora, antithesis, apostrophe, assonance, chiasmus, understatement",65,0,0.0,65,1.0
Identify facts and opinions,62,0,0.0,62,1.0
Identify minerals using properties,57,0,0.0,57,1.0
How do mass and force affect motion?,56,0,0.0,56,1.0
"Identify solids, liquids, and gases",56,0,0.0,56,1.0
Interpret the figure of speech,56,0,0.0,56,1.0
Suggest appropriate revisions,56,0,0.0,56,1.0
"Use evidence to classify mammals, birds, fish, reptiles, and amphibians",55,0,0.0,55,1.0
Identify animals with and without backbones,53,0,0.0,53,1.0
Choose customary units of distance,52,0,0.0,52,1.0
Balanced and unbalanced forces,51,0,0.0,51,1.0
Is it a complete sentence or a run-on?,50,0,0.0,50,1.0
Positive and negative connotation,50,0,0.0,50,1.0
Identify sentence fragments,49,0,0.0,49,1.0
Identify run-on sentences,47,0,0.0,47,1.0
Predict forces using Newton's third law,43,0,0.0,43,1.0
The Bill of Rights,39,0,0.0,39,1.0
Identify elements of poetry,38,0,0.0,38,1.0
Compare cells and cell parts,35,0,0.0,35,1.0
Identify rocks using properties,34,0,0.0,34,1.0
What am I?,34,0,0.0,34,1.0
Human organs and their functions,32,0,0.0,32,1.0
Which word is not like the others?,32,0,0.0,32,1.0
Use evidence to classify animals,29,0,0.0,29,1.0
Identify reactants and products,27,0,0.0,27,1.0
Understand a Works Cited entry (MLA 7th edition),27,0,0.0,27,1.0
Cell part functions: true or false,26,0,0.0,26,1.0
Classify changes to Earth's surface,25,0,0.0,25,1.0
Identify elementary substances and compounds using chemical formulas,25,0,0.0,25,1.0
Read a thermometer,25,0,0.0,25,1.0
Identify the photosynthetic organism,24,0,0.0,24,1.0
Classify changes to Earth's surface II,23,0,0.0,23,1.0
Identify mixtures,23,0,0.0,23,1.0
Select the words that don't belong,22,0,0.0,22,1.0
Classify changes to Earth's surface I,21,0,0.0,21,1.0
Identify shortage and surplus,20,0,0.0,20,1.0
Identify solids and liquids,20,0,0.0,20,1.0
Identify whether objects are accelerating,20,0,0.0,20,1.0
Is the syllable open or closed?,20,0,0.0,20,1.0
Identify ecosystems,15,0,0.0,15,1.0
"Compare urban, suburban, and rural areas",12,0,0.0,12,1.0
Body parts and their functions,10,0,0.0,10,1.0
Identify functions of plant cell parts,10,0,0.0,10,1.0
Identify functions of animal cell parts,9,0,0.0,9,1.0
Identify text structures,9,0,0.0,9,1.0
Evaluate natural energy sources,8,0,0.0,8,1.0
Describe energy changes in chemical reactions,6,0,0.0,6,1.0
Compare plant and animal cells,5,0,0.0,5,1.0
Identify phases of the Moon,4,0,0.0,4,1.0
Identify plagiarism,4,0,0.0,4,1.0
Introduction to adaptations,4,0,0.0,4,1.0
Body systems: circulation and respiration,3,0,0.0,3,1.0
Body systems: digestion,3,0,0.0,3,1.0
Identify the purpose of a text,3,0,0.0,3,1.0
Science and technology in early China,3,0,0.0,3,1.0
The Executive Branch,3,0,0.0,3,1.0
The Legislative Branch,3,0,0.0,3,1.0
Understanding the chemistry of cellular respiration,3,0,0.0,3,1.0
Abraham Lincoln,2,0,0.0,2,1.0
Body systems: perception and motion,2,0,0.0,2,1.0
Federal government,2,0,0.0,2,1.0
Introduction to fossils,2,0,0.0,2,1.0
Purpose of government,2,0,0.0,2,1.0
Science literacy: how does the nervous system produce phantom pain?,2,0,0.0,2,1.0
"Structure and function: carbohydrates, lipids, proteins, and nucleic acids",2,0,0.0,2,1.0
The Constitution,2,0,0.0,2,1.0
Amelia Earhart,1,0,0.0,1,1.0
Antebellum Period: abolitionist and proslavery perspectives,1,0,0.0,1,1.0
Antebellum Period: economies of the North and South,1,0,0.0,1,1.0
Banks,1,0,0.0,1,1.0
Benjamin Franklin,1,0,0.0,1,1.0
Bill Gates,1,0,0.0,1,1.0
Body systems: removing waste,1,0,0.0,1,1.0
Cesar Chavez,1,0,0.0,1,1.0
Changes to Earth's surface: earthquakes,1,0,0.0,1,1.0
Changes to Earth's surface: erosion,1,0,0.0,1,1.0
Changes to Earth's surface: volcanic eruptions,1,0,0.0,1,1.0
Christmas,1,0,0.0,1,1.0
Día de los Muertos,1,0,0.0,1,1.0
Early Chinese thought,1,0,0.0,1,1.0
Easter,1,0,0.0,1,1.0
Explore energy transformations: bike ride,1,0,0.0,1,1.0
Frederick Douglass,1,0,0.0,1,1.0
George Washington Carver,1,0,0.0,1,1.0
