dataset,sample_id,original_id,split,question,choices,answer,text_context,image_ref,has_image,subject,topic,skill,evidence_type,modality_case,answer_format,source_task
tqa_ck12,NDQ_000046,NDQ_000046,train,Earth science is the study of,a) solid Earth. | b) Earths oceans. | c) Earths atmosphere. | d) all of the above,d: all of the above,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Multiple Choice,text_only,question_without_image,multiple_choice,ck12_textbook_qa
tqa_ck12,NDQ_000047,NDQ_000047,train,A geologist would be most likely to investigate how,a) mountains form. | b) people cause pollution. | c) tornadoes occur. | d) two of the above,a: mountains form.,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Multiple Choice,text_only,question_without_image,multiple_choice,ck12_textbook_qa
tqa_ck12,NDQ_000048,NDQ_000048,train,Which type of Earth scientist might look for petroleum for an oil company?,a) meteorologist | b) climatologist | c) geologist | d) ecologist,c: geologist,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Multiple Choice,text_only,question_without_image,multiple_choice,ck12_textbook_qa
tqa_ck12,NDQ_000049,NDQ_000049,train,Chemical oceanography is the study of the,a) human pollution of ocean water. | b) naturally occurring elements in ocean water. | c) rising levels of ocean water. | d) rocks on the ocean floor.,b: naturally occurring elements in ocean water.,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Multiple Choice,text_only,question_without_image,multiple_choice,ck12_textbook_qa
tqa_ck12,NDQ_000050,NDQ_000050,train,The problem of global warming is most likely to be the focus of a scientist known as a,a) planetary geologist. | b) seismologist. | c) physical oceanographer. | d) climatologist.,d: climatologist.,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Multiple Choice,text_only,question_without_image,multiple_choice,ck12_textbook_qa
tqa_ck12,NDQ_000051,NDQ_000051,train,Which type of Earth scientist would you expect to give a weather report?,a) volcanologist | b) meteorologist | c) climatologist | d) environmental scientist,b: meteorologist,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Multiple Choice,text_only,question_without_image,multiple_choice,ck12_textbook_qa
tqa_ck12,NDQ_000052,NDQ_000052,train,Tools typically used by meteorologists include,a) satellites. | b) radar. | c) telescopes. | d) two of the above,d: two of the above,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Multiple Choice,text_only,question_without_image,multiple_choice,ck12_textbook_qa
tqa_ck12,NDQ_000053,NDQ_000053,train,study of Earths weather,a) astronomy | b) oceanography | c) geology | d) environmental science | e) Earth science | f) seismology | g) meteorology,g: meteorology,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Matching,text_only,question_without_image,multiple_choice,ck12_textbook_qa
tqa_ck12,NDQ_000054,NDQ_000054,train,study of earthquakes,a) astronomy | b) oceanography | c) geology | d) environmental science | e) Earth science | f) seismology | g) meteorology,f: seismology,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Matching,text_only,question_without_image,multiple_choice,ck12_textbook_qa
tqa_ck12,NDQ_000055,NDQ_000055,train,study of Earths oceans,a) astronomy | b) oceanography | c) geology | d) environmental science | e) Earth science | f) seismology | g) meteorology,b: oceanography,"lesson: earth science and its branches
Answer the following multiple choice question from a science textbook.",,0,science,earth science and its branches,Matching,text_only,question_without_image,multiple_choice,ck12_textbook_qa
